title,genre
the prophecy ii,Horror
tom thumb,Fantasy
the black watch,Adventure
cool world,Fantasy
priest,Horror
disturbing behaviour,Horror
fort apache,Western
sabretooth,Adventure
the lost boys,Horror
the book of eli ,Action
undisputed,Action
dracula iii. legacy,Horror
the dunwich horror,Horror
alien abduction,Horror
skyrunners,Fantasy
bending the rules,Action
the plainsman,Western
the wolf man,Horror
13 sins,Horror
american sniper,Action
southland tales,Fantasy
come play,Horror
cliffhanger,Action
somewhere in time,Fantasy
the kentuckian,Western
phantasm,Fantasy
abilene town,Western
honeydew,Horror
hercules in new york,Fantasy
the car,Horror
taras bulba,Adventure
ride lonesome,Western
wish upon,Horror
the other wife,Horror
sea devils,Adventure
dna,Fantasy
resolution,Horror
haunt,Horror
the invasion,Fantasy
they,Horror
the last hard men,Western
bats: human harvest,Horror
the brood,Horror
5 days of war,Action
tomorrowland,Fantasy
the black room,Horror
x-men: apocalypse,Fantasy
sleepy hollow,Horror
the sea hawk,Adventure
sitting bull,Western
shark attack,Action
catacombs,Horror
cattle king,Western
springfield rifle,Western
the black stallion,Adventure
trauma center,Action
chill factor,Action
the macomber affair,Adventure
return of the jedi,Fantasy
cellar dweller,Horror
highlander: endgame,Action
10.5,Action
400 days,Fantasy
savage sam,Western
nightlight,Horror
dallas,Western
cracker jack,Action
born in flames,Fantasy
untamed frontier,Western
happy birthday to me,Horror
wild rovers,Western
like.share.follow.,Horror
the debt collector,Action
the last mimzy,Fantasy
wargames,Fantasy
midnight chronicles,Action
comes a horseman,Western
jumanji,Fantasy
billy two hats,Western
fire down below,Adventure
flesh and blood,Adventure
rope of sand,Adventure
freddy vs. jason,Horror
tremors,Horror
the longhorns,Western
wyatt earp,Western
twelve monkeys,Fantasy
white lightning,Action
willy's wonderland,Horror
the werewolf,Fantasy
takers,Action
knockaround guys,Action
gunfighter,Western
swordfish,Action
dead men walk,Horror
perfect weapon,Action
krocodylus,Horror
the hateful eight,Western
the adderall diaries,Action
evil never dies,Horror
the mummy,Adventure
lone hand,Western
sxtape,Horror
the saint,Action
the son of kong,Fantasy
fingerprints,Horror
buffalo bill,Western
love comes softly ,Western
three texas steers,Western
bad ass 2: bad asses,Action
lies & illusions,Action
major dundee,Western
shark attack 2,Action
annabelle comes home,Horror
waterworld,Fantasy
the deadly trackers,Western
savages,Action
the foreigner,Action
sniper 3,Action
three kings,Adventure
see you yesterday,Fantasy
warbirds,Adventure
bad biology,Horror
12 rounds,Action
bliss,Horror
robot monster,Fantasy
underworld evolution,Fantasy
the rats,Horror
the missouri breaks,Western
rings,Horror
the andromeda strain,Fantasy
american outlaws,Western
deadly friend,Horror
romeo must die,Action
realms,Horror
damien: omen ii,Horror
the base,Action
halloween kills,Horror
the way of war,Action
dracula untold,Fantasy
primeval,Horror
one little indian,Adventure
my friend flicka,Adventure
fear street: 1978,Horror
the kitchen,Action
rollerball,Action
alvarez kelly,Western
in old oklahoma,Western
picture mommy dead,Horror
holidays,Horror
warlock,Horror
st. ives,Action
d. a. r. y. l.,Fantasy
time trap,Fantasy
phase iv,Fantasy
the aviator,Adventure
showdown at abilene,Western
boogeyman,Horror
robot jox,Fantasy
the space children,Fantasy
the blob,Fantasy
real steel,Action
favela,Action
alien: covenant,Fantasy
when the legends die,Western
the ministers ,Action
kong: skull island,Action
evilspeak,Horror
malaya,Adventure
man in the shadow?,Western
ulzana's raid,Western
man's best friend,Horror
creature,Horror
airplane vs volcano,Action
the jackal,Action
the patriot,Action
blade,Action
a day of fury,Western
the iron mask,Adventure
foxfire,Western
the lost world,Adventure
the vikings,Adventure
no way back,Action
beyond the stars,Adventure
